Species ,Type strain ,16s rDNA ,gyrB gene,rpoD gene,rpoB gene,Genome
Pseudomonas kilonensis,DSM 13647,AJ292426.1,AM084677.2,AM084336.1,AJ717472.1,LHVH00000000.1
Pseudomonas knackmussii,LMG 23759,AF039489.1,FN554193.1,FN554475.1,FN554736.1,NZ_HG322950.1
Pseudomonas koreensis,LMG 21318,AF468452.1,FN554194.1,FN554476.1,FN554737.1,LT629687.1
Pseudomonas kribbensis,DSM 100278,KT321658.1,KT183428.1,CP029608.1,KT183429.1,CP029608.1
Pseudomonas kunmingensis,DSM 25974,JQ246444.1,FORS00000000.1,FORS00000000.1,FORS00000000.1,FORS00000000.1
Pseudomonas kuykendallii,NRRL B-59562,JF749828.1,FNNU00000000.1,FNNU00000000.1,FNNU00000000.1,FNNU00000000.1
Pseudomonas lactis,DSM 29167,JYLO00000000.1,JYLO00000000.1,JYLO00000000.1,JYLO00000000.1,JYLO00000000.1
Pseudomonas laurylsulfatiphila,AP3_16,NIRS00000000.1,NIRS00000000.1,NIRS00000000.1,NIRS00000000.1,NIRS00000000.1
Pseudomonas laurylsulfatovorans,AP3_22,MUJK00000000.1,MUJK00000000.1,MUJK00000000.1,MUJK00000000.1,MUJK00000000.1
Pseudomonas libanensis,CIP 105460,AF057645.1,FN554195.1,FN554477.1,AJ717454.1,LT629699.1
Pseudomonas lini,CFBP 5737,AY035996.2,FN554196.1,FN554478.1,AJ717466.1,LT629746.1
Pseudomonas linyingensis,LMG 25967,HM246142.1,FNZE00000000.1,FNZE00000000.1,FNZE00000000.1,FNZE00000000.1
Pseudomonas litoralis,2SM5,FN908483.1,FN908486.1,FN908485.1,FN908484.1,LT629748.1
Pseudomonas lundensis,ATCC 49968,AB021395.1,FN554197.1,FN554479.1,AJ717428.1,JYKY00000000.1
Pseudomonas lurida,P 513/18,AJ581999.1,HE800480.1,HE800497.1,HE800513.1,PDJB00000000.1
Pseudomonas lutea ,LMG 21974,AY364537.1,FN554198.1,FN554480.1,FN554738.1,JRMB00000000.1
Pseudomonas nabeulensis,E10B,LR130177.1,LR130168.1,LR130158.1,QUZT00000000.1,QUZT00000000.1
Pseudomonas nitroreducens,ATCC 33634,AM088473.1,FN554208.1,FN554492.1,AJ717448.1,FZOM00000000.1
Pseudomonas oceani,DSM 100277,KT449732.1,KU187947.1,KU187948.1,PPSK00000000.1,PPSK00000000.1
Pseudomonas oleovorans subsp. oleovorans,ATCC 8062,D84018.1,AB039396.1,AB039601.1,AJ717461.1,FNZC00000000.1
Pseudomonas orientalis,DSM 17489,AF064457.1,FN554209.1,FN554493.1,AJ717434.1,LT629782.1
Pseudomonas oryzae,KCTC 32247,KF317694.2,LT629751.1,LT629751.1,LT629751.1,LT629751.1
Pseudomonas oryzihabitans,ATCC 43272,AM262973.1,FN554210.1,FN554494.1,HE800519.1,BBIT00000000.1
Pseudomonas otitidis,DSM 17224,AY953147.1,FN554211.1,FN554495.1,FN554745.1,FOJP00000000.1
Pseudomonas pachastrellae,CCUG 46540,AB125366.1,FN554212.1,FN554496.1,FN554746.1,FOUD00000000.1
Pseudomonas palleroniana,LMG 23076,AY091527.1,FN554213.1,FN554497.1,FN554747.1,FNUA00000000.1
Pseudomonas panacis,CIP108524,AY787208.3,FN554214.1,FN554498.1,FN554748.1,FNSP00000000.1
Pseudomonas panipatensis,CCM 7469T,EF424401.1,FN554215.1,FN554499.1,FN554749.1,FNDS00000000.1
Pseudomonas parafulva,DSM 17004,AB060132.1,FN554216.1,FN554500.1,AJ717471.1,AUEB00000000.1
Pseudomonas paralactis,DSM 29164,JYLN00000000.1,JYLN00000000.1,JYLN00000000.1,JYLN00000000.1,JYLN00000000.1
Pseudomonas pelagia,JCM 15562,EU888911.1,FN908496.1,FN908495.1,FN908494.1,AROI00000000.1
Pseudomonas peli,LMG 23201,AM114534.1,FN554217.1,FN554501.1,FN554750.1,FMTL00000000.1
Pseudomonas perfectomarina,ATCC 14405 = CCUG 16156,U65012.1,AGSL00000000.1,AGSL00000000.1,AGSL00000000.1,AGSL00000000.1
Pseudomonas pertucinogena,LMG 1874,AB021380.1,DQ350613.2,FN554502.1,AJ717441.1,Go0013192
Pseudomonas pharmacofabricae,ZYSR67-Z,KX910087.1,PIYS00000000.1,PIYS00000000.1,PIYS00000000.1,PIYS00000000.1
Pseudomonas plecoglossicida,ATCC 700383,AB009457.1,FN554218.1,FN554503.1,AJ717456.1,BBIV00000000.1
Pseudomonas poae,LMG 21465,AJ492829.1,FN554219.1,FN554504.1,FN554751.1,LT629706.1
Pseudomonas pohangensis,DSM 17875,LT629785.1,LT629785.1,LT629785.1,LT629785.1,LT629785.1
Pseudomonas profundi,M5,VTPZ00000000.1,VTPZ00000000.1,VTPZ00000000.1,VTPZ00000000.1,VTPZ00000000.1
Pseudomonas prosekii ,LMG 26867,JN814372.1,JN814373.1,JN814373.1,JN814370.1,LT629762.1
Pseudomonas protegens,DSM 19095,AJ278812.1,DQ458573.1/HE800482.1,X84416.1,DQ458638.1/HE800514.1,CP003190.1
Pseudomonas proteolytica,CIP 108464,AJ537603.1,FN554220.1,FN554505.1,FN554752.1,FNTR00000000.1
Pseudomonas pseudoalcaligenes subsp. pseudoalcaligenes,LMG 1225,Z76666.1,AB039397.1,AB039602.1,AJ717430.1,Gp0023768
Pseudomonas psychrophila,DSM17535,AB041885.1,FN554221.1,FN554506.1,AJ717464.1,LT629795.1
Pseudomonas psychrotolerans,LMG 21977,AJ575816.1,FN554222.1,FN554507.1,FN554753.1,FMWB00000000.1
Pseudomonas punonensis,CECT 8089,JQ344321.1,FRBQ00000000.1,FRBQ00000000.1,JX435104.1,FRBQ00000000.1
Pseudomonas putida,ATCC 12633,D84020.1,AB039451.1,AB039581.1,AJ717474.1,AP013070.1
Pseudomonas pyomelaminifaciens,MR 02,PESJ00000000.1,PESJ00000000.1,PESJ00000000.1,PESJ00000000.1,PESJ00000000.1
Pseudomonas qingdaonensis,JJ3,MG589917.1,PHTD00000000.1,PHTD00000000.1,PHTD00000000.1,PHTD00000000.1
Pseudomonas reidholzensis,CCOS 865,LT009707.2,UNOZ00000000.1,LT009713.1,UNOZ00000000.1,UNOZ00000000.1
Pseudomonas reinekei,CCUG 53116,AM293565.1,AM293559.1,FN554508.1,FN554754.1,MSTQ00000000.1
Pseudomonas resinovorans,LMG 2274,Z76668.1,FN554223.1,FN554509.1,AJ717479.1,AUIE00000000.1
Pseudomonas rhizosphaerae,LMG 21640,AY152673.1,FN554224.1,FN554510.1,FN554755.1,CP009533.1
Pseudomonas rhodesiae ,LMG 17764,AF064459.1,FN554225.1,FN554511.1,AJ717431.1,LT629801.1
Pseudomonas sabulinigri,KCTC 22137,EU143352.1,FN908493.1,FN908492.1,FN908491.1,LT629763.1
Pseudomonas sagittaria,JCM 18195,JQ277453.1,FOXM00000000.1,FOXM00000000.1,FOXM00000000.1,FOXM00000000.1
Pseudomonas salegens,CECT 8338,LT629787.1,LT629787.1,LT629787.1,LT629787.1,LT629787.1
Pseudomonas salina,XCD-X85,KC762324.2,VTTI00000000.1,VTTI00000000.1,VTTI00000000.1,VTTI00000000.1
Pseudomonas salomonii,LMG 22120,AY091528.1,FN554226.1,FN554512.1,FN554756.1,MDFI00000000.1
Pseudomonas saponiphila,DSM 9751,FM208264.1,HE800483.1,HE800499.1,HE800515.1,FNTJ00000000.1
Pseudomonas saudimassiliensis,12M76,LK391969.1,LK391969.1,LK391969.1,LK391969.1,LK391969.1
Pseudomonas saudiphocaensis,20 BN,LK021121.2,CCSF00000000.1,CCSF00000000.1,CCSF00000000.1,CCSF00000000.1
Pseudomonas savastanoi,LMG 2209,AB021402.1,AB039469.1,AB039514.1,AJ717422.1,LJRJ00000000.1
Pseudomonas sediminis,PI11,KP319033.1,NIQU00000000.1,NIQU00000000.1,NIQU00000000.1,NIQU01000000.1
Pseudomonas segetis,IMSNU 14101,AY770691.2,HE800484.1,HE800500.1,HE800516.1,FZOG00000001.1
Pseudomonas seleniipraecipitans,LMG 25475,FJ422810.1,HE800485.1,HE800501.1,HE800517.1,FNBM00000000.1
Pseudomonas sichuanensis,WCHPs060039;TC-11,MH428810.1,QKVM00000000.1,QKVM00000000.1,QKVM00000000.1,QKVM00000000.1
Pseudomonas sihuiensis,KCTC 32246,LT629797.1,LT629797.1,LT629797.1,LT629797.1,LT629797.1
Pseudomonas silesiensis,A3,CP014870.1,CP014870.1,CP014870.1,CP014870.1,CP014870.1
Pseudomonas simiae,Oli,AJ936933.1,FN554227.1,FN554513.1,FN554757.1,MDFH00000000.1
Pseudomonas soli,LMG 27941,HF930598.1,HF930597.1,HF930597.1,HF930596.1,FOEQ00000000.1
Pseudomonas songnenensis,NEAU-ST5-5,JQ762269.1,KP151494.1,KP151498.1,RFFN00000000.1,RFFN00000000.1.1
Pseudomonas straminea,LMG 21615,D84023.1,AB039410.1,AB039600.1,FN554758.1,FOMO00000000.1
Pseudomonas stutzeri,ATCC 17588,AF094748.1,AJ617557.1,AJ631316.1,AJ279962.1,CP002881.1
Pseudomonas synxantha,ATCC 9890,D84025.1,AB039415.1,AB039550.1,AJ717420.1,LT629786.1
Pseudomonas syringae,NCPPB 281,DQ318866.1,AB039428.1,AB039516.1,FN554759.1,JALK00000000.1
Pseudomonas taeanensis,KCTC 22612,FJ424813.1,HE800486.1,HE800502.1,HE800518.1,AWSQ00000000.1
Pseudomonas taetrolens,LMG 2336,D84027.1,AB039412.1,AB039523.1,AJ717423.1,JYLA00000000.1
Pseudomonas taiwanensis,DSM 21245,EU103629.1,FJ418634/HE800487.1,HE577796.1,HE577797.1,AUEC00000000.1
Pseudomonas tarimensis, MA-69,KC709664.1,KM077173.1,KM095629.1,KJ995816.1,-
Pseudomonas thermotolerans,CIP 107795,AJ311980.1,FN554228.1,FN554514.1,FN554760.1,AQPA00000000.1
Pseudomonas thivervalensis,DSM 13194,AF100323.1,AM084679.1,AM084338.2,AM0844680.1,LHVE00000000.1
Pseudomonas tolaasii,ATCC 33618,AF255336.1,AB039423.1,AB039561.1,AJ717467.1,PHHD00000000.1
Pseudomonas toyotomiensis,NCIMB 14511,AB453701.1,AB494447.1,AB548145.1,AB548147.1,FOXK00000000.1
